FY,CFIS/ORG Code,CBID,Leave Benefit ID,Leave Benefit Name,ending_balance
2024-2025,0160,E,AL,ANNUAL LEAVE,75.0
2024-2025,0160,E97,AL,ANNUAL LEAVE,155215.0
2024-2025,0160,E97,CT,COMPENSATING TIME OFF,9616.25
2024-2025,0160,E97,EX,EXCESS HOURS (EX),517.25
2024-2025,0160,E97,HC,HOLIDAY CREDIT,2996.75
2024-2025,0160,E97,HI,HOLIDAY INFORMAL TIME OFF,4333.0
2024-2025,0160,E97,HT,HOLIDAY CREDIT-WK ON HOL,477.5
2024-2025,0160,E97,LD,PERSONAL LEAVE PROG 2003,976.75
2024-2025,0160,E97,LX,PERSONAL LEAVE PROG 2020,760.0
2024-2025,0160,E97,PH,PERSONAL HOLIDAY,10534.0
2024-2025,0160,E97,PL,PERSONAL LEAVE PROGRAM,114.0
2024-2025,0160,E97,PT,PROFESSIONAL TRNG/DEVEL,6894.5
2024-2025,0160,E97,PV,VOLUNTARY PLP,6155.0
2024-2025,0160,E97,SL,SICK LEAVE,60166.0
2024-2025,0160,E97,VA,VACATION,69392.0
2024-2025,0160,E98,AL,ANNUAL LEAVE,16995.0
2024-2025,0160,E98,CT,COMPENSATING TIME OFF,110.75
2024-2025,0160,E98,EX,EXCESS HOURS (EX),17.0
2024-2025,0160,E98,HC,HOLIDAY CREDIT,290.75
2024-2025,0160,E98,HI,HOLIDAY INFORMAL TIME OFF,315.75
2024-2025,0160,E98,HT,HOLIDAY CREDIT-WK ON HOL,447.75
2024-2025,0160,E98,LD,PERSONAL LEAVE PROG 2003,96.0
2024-2025,0160,E98,LX,PERSONAL LEAVE PROG 2020,25.0
2024-2025,0160,E98,PH,PERSONAL HOLIDAY,1000.0
2024-2025,0160,E98,PL,PERSONAL LEAVE PROGRAM,7.0
2024-2025,0160,E98,PT,PROFESSIONAL TRNG/DEVEL,472.0
2024-2025,0160,E98,PV,VOLUNTARY PLP,1312.5
2024-2025,0160,E98,SL,SICK LEAVE,3577.0
2024-2025,0160,E98,VA,VACATION,4123.5
2024-2025,0160,E99,AL,ANNUAL LEAVE,74943.5
2024-2025,0160,E99,CT,COMPENSATING TIME OFF,2885.5
2024-2025,0160,E99,EX,EXCESS HOURS (EX),144.0
2024-2025,0160,E99,HC,HOLIDAY CREDIT,901.25
2024-2025,0160,E99,HI,HOLIDAY INFORMAL TIME OFF,1029.0
2024-2025,0160,E99,HT,HOLIDAY CREDIT-WK ON HOL,150.0
2024-2025,0160,E99,LD,PERSONAL LEAVE PROG 2003,420.5
2024-2025,0160,E99,LP,PERSONAL LEAVE PROG 2010,8.0
2024-2025,0160,E99,LV,PERSONAL LEAVE PROG 2012,8.0
2024-2025,0160,E99,LX,PERSONAL LEAVE PROG 2020,138.0
2024-2025,0160,E99,PH,PERSONAL HOLIDAY,2920.0
2024-2025,0160,E99,PL,PERSONAL LEAVE PROGRAM,180.0
2024-2025,0160,E99,PT,PROFESSIONAL TRNG/DEVEL,1192.0
2024-2025,0160,E99,PV,VOLUNTARY PLP,2746.0
2024-2025,0160,E99,SL,SICK LEAVE,18064.25
2024-2025,0160,E99,VA,VACATION,10440.75
2024-2025,0250,E88,AL,ANNUAL LEAVE,206395.0
2024-2025,0250,E88,CT,COMPENSATING TIME OFF,1116.5
2024-2025,0250,E88,EH,EXCESS HOURS (EH),976.75
2024-2025,0250,E88,EX,EXCESS HOURS (EX),1.0
2024-2025,0250,E88,FH,FURLOUGH HOURS,3.5
2024-2025,0250,E88,HI,HOLIDAY INFORMAL TIME OFF,158.0
2024-2025,0250,E88,LD,PERSONAL LEAVE PROG 2003,1488.0
2024-2025,0250,E88,LX,PERSONAL LEAVE PROG 2020,300.5
2024-2025,0250,E88,PH,PERSONAL HOLIDAY,9516.25
2024-2025,0250,E88,PL,PERSONAL LEAVE PROGRAM,1538.75
2024-2025,0250,E88,PT,PROFESSIONAL TRNG/DEVEL,152.0
2024-2025,0250,E88,PV,VOLUNTARY PLP,1363.25
2024-2025,0250,E88,SL,SICK LEAVE,313297.5
2024-2025,0250,E88,VA,VACATION,248181.0
2024-2025,0250,E89,AL,ANNUAL LEAVE,28895.5
