FY,CFIS/ORG Code,total_hours,weighted_avg_hourly_rate
2024-2025,0160,473182.75,73.23
2024-2025,0250,898845.5,69.18
2024-2025,0257,13196.0,68.82
2024-2025,0280,11392.75,82.63
2024-2025,0462,67615.75,59.81
2024-2025,0500,74920.5,67.29
2024-2025,0502,999006.25,60.96
2024-2025,0509,99671.25,56.19
2024-2025,0511,17919.75,79.57
2024-2025,0515,30399.5,64.04
2024-2025,0521,49273.75,58.32
2024-2025,0530,68659.25,62.16
2024-2025,0531,342850.5,70.86
2024-2025,0540,43768.0,64.29
2024-2025,0552,118861.25,70.04
2024-2025,0555,68964.25,69.5
2024-2025,0559,22965.0,76.9
2024-2025,0650,76107.5,54.73
2024-2025,0680,35985.0,54.47
2024-2025,0750,6273.0,53.41
2024-2025,0840,1150912.25,54.45
2024-2025,0845,922457.0,57.6
2024-2025,0855,36921.25,58.96
2024-2025,0860,98800.25,56.3
2024-2025,0870,67641.25,69.85
2024-2025,0890,363064.75,48.45
2024-2025,0950,173658.0,59.46
2024-2025,0954,7749.5,50.38
2024-2025,0956,11692.25,50.83
2024-2025,0957,1769.25,50.96
2024-2025,0959,7974.0,41.44
2024-2025,0968,32772.75,43.67
2024-2025,0981,1700.5,53.5
2024-2025,1045,3740.5,73.3
2024-2025,1110,1762193.25,153.47
2024-2025,1111,9468.0,49.98
2024-2025,1115,327909.0,52.24
2024-2025,1700,165818.75,62.14
2024-2025,1701,581963.0,60.29
2024-2025,1703,19516.5,70.02
2024-2025,1750,30650.25,48.95
2024-2025,2100,416473.5,63.25
2024-2025,2120,2131.5,62.64
2024-2025,2240,601559.75,49.39
2024-2025,2320,235650.75,52.44
2024-2025,2600,26759.5,65.61
2024-2025,2660,16770094.75,80.65
2024-2025,2665,285863.25,69.48
2024-2025,2670,3721.25,55.36
2024-2025,2720,11081886.25,71.48
2024-2025,2740,3767205.25,177.3
2024-2025,3100,71845.5,41.16
2024-2025,3125,22979.5,67.24
2024-2025,3340,248084.25,40.39
2024-2025,3360,512784.25,62.0
2024-2025,3460,5235.75,740.2
2024-2025,3480,435937.0,74.16
2024-2025,3540,2774149.25,52.66
2024-2025,3560,119622.0,62.08
2024-2025,3600,2301507.5,117.83
2024-2025,3640,28462.25,57.07
2024-2025,3720,96197.5,119.68
2024-2025,3760,25120.0,51.81
2024-2025,3780,5246.75,49.4
2024-2025,3790,2858027.0,339.69
2024-2025,3810,8113.5,61.09
2024-2025,3820,21348.25,56.79
2024-2025,3825,3242.5,50.51
2024-2025,3830,2980.75,46.14
2024-2025,3835,2883.0,51.81
2024-2025,3840,1773.75,68.01
2024-2025,3845,1793.75,58.55
2024-2025,3850,1448.25,48.03
2024-2025,3855,15867.75,330.63
2024-2025,3875,3998.25,55.92
2024-2025,3885,33917.75,64.7
2024-2025,3900,1289296.75,111.3
2024-2025,3930,271226.0,61.4
2024-2025,3940,1384326.25,69.37
2024-2025,3960,737472.75,60.16
2024-2025,3970,519923.0,66.9
2024-2025,3980,74553.5,63.83
2024-2025,4100,35042.0,46.98
2024-2025,4120,61498.5,51.03
2024-2025,4140,373670.0,63.92
2024-2025,4150,386866.0,58.4
2024-2025,4170,122302.0,68.9
2024-2025,4180,1902.25,50.65
2024-2025,4185,92.0,54.79
2024-2025,4250,29848.25,56.52
2024-2025,4260,2900729.25,58.11
2024-2025,4265,2748850.75,54.93
2024-2025,4300,1220669.5,69.14
2024-2025,4440,4230439.5,181.46
2024-2025,4540,586245.25,121.01
2024-2025,4560,27787.25,58.6
2024-2025,4700,74307.0,47.34
2024-2025,5160,1107347.25,154.76
2024-2025,5170,1283.25,48.41
2024-2025,5175,468287.0,55.65
2024-2025,5180,2912439.75,57.02
2024-2025,5225,3107508.75,62.33
2024-2025,5227,72130.75,61.54
2024-2025,5250,3751615.0,65.73
2024-2025,5254,93411.75,39.02
2024-2025,5260,1939310.0,62.56
2024-2025,5290,46.25,31.48
2024-2025,5291,534258.25,74.58
2024-2025,5292,799679.25,56.75
2024-2025,5295,630153.25,56.96
2024-2025,5300,539825.5,61.24
2024-2025,5310,985209.25,60.13
2024-2025,5320,676706.25,63.93
2024-2025,5330,994010.0,61.41
2024-2025,5335,690794.25,55.74
2024-2025,5340,685829.25,57.94
2024-2025,5341,672142.5,54.96
2024-2025,5342,594375.5,55.89
2024-2025,5344,746102.25,57.27
2024-2025,5349,773675.25,54.92
2024-2025,5350,633662.75,56.39
2024-2025,5351,794723.25,55.6
2024-2025,5352,537444.5,55.24
2024-2025,5353,669623.0,60.25
2024-2025,5355,522475.0,55.28
2024-2025,5357,871613.0,54.82
2024-2025,5358,664129.5,52.29
2024-2025,5359,446956.25,53.46
2024-2025,5360,701778.25,55.32
2024-2025,5361,480731.25,59.34
2024-2025,5362,510009.25,56.87
2024-2025,5363,690685.0,56.65
2024-2025,5364,619965.0,56.31
2024-2025,5365,673368.25,61.74
2024-2025,5380,680136.5,58.76
2024-2025,5388,385945.25,97.9
2024-2025,5390,810991.75,57.46
2024-2025,5400,739436.0,55.36
2024-2025,5420,362394.75,75.26
2024-2025,5460,974.0,44.74
2024-2025,6047,26573.0,100.58
2024-2025,6100,1908331.25,67.18
2024-2025,6120,90791.0,53.7
2024-2025,6125,4837.0,79.25
2024-2025,6255,2328.0,54.15
2024-2025,6360,114517.75,57.39
2024-2025,6870,172566.5,59.93
2024-2025,6980,82343.25,51.73
2024-2025,7100,4590923.75,99.76
2024-2025,7120,39067.0,48.11
2024-2025,7300,30311.0,65.12
2024-2025,7320,34432.5,70.89
2024-2025,7350,2104058.5,55.26
2024-2025,7501,222340.0,56.13
2024-2025,7503,36149.5,65.79
2024-2025,7504,21677.5,71.97
2024-2025,7600,2616846.5,52.43
2024-2025,7730,3445972.75,147.63
2024-2025,7760,2052523.75,51.55
2024-2025,7870,122565.75,47.88
2024-2025,7910,19501.0,61.88
2024-2025,8120,96339.0,57.19
2024-2025,8140,48618.0,83.97
2024-2025,8260,14336.0,517.94
2024-2025,8570,1138936.75,48.21
2024-2025,8620,47880.75,55.48
2024-2025,8660,1019863.25,63.66
2024-2025,8780,1872.0,53.4
2024-2025,8820,4067.5,51.22
2024-2025,8825,837.5,58.7
2024-2025,8830,3801.0,74.99
2024-2025,8860,321121.25,62.08
2024-2025,8880,297760.5,56.62
2024-2025,8885,8806.5,71.63
2024-2025,8940,233244.0,45.98
2024-2025,8955,835299.25,100.55
2024-2025,8960,445258.5,103.61
2024-2025,8965,103963.75,338.39
2024-2025,8966,161174.0,53.11
2023-2024,0160,461869.75,81.17
2023-2024,0250,873155.25,66.77
2023-2024,0257,10146.0,66.92
2023-2024,0280,10717.5,77.04
2023-2024,0462,56309.0,57.17
2023-2024,0500,79435.5,68.15
2023-2024,0502,992548.75,59.37
2023-2024,0509,96312.0,52.48
2023-2024,0511,18709.75,69.65
2023-2024,0515,34768.25,57.75
2023-2024,0521,52114.25,57.01
2023-2024,0530,68823.5,61.88
2023-2024,0531,328013.75,69.82
2023-2024,0540,44127.25,78.36
2023-2024,0552,123646.5,68.32
2023-2024,0555,71431.0,66.84
2023-2024,0559,21160.25,71.73
2023-2024,0650,105008.0,53.86
2023-2024,0690,1010747.25,53.62
2023-2024,0750,6151.0,52.42
2023-2024,0840,1113223.75,50.46
2023-2024,0845,923653.25,56.34
2023-2024,0855,36373.75,60.12
2023-2024,0860,99119.25,54.21
2023-2024,0870,75221.25,69.24
2023-2024,0890,353003.75,46.09
2023-2024,0911,4.0,11749.0
2023-2024,0950,180860.5,57.07
2023-2024,0954,8774.5,56.73
2023-2024,0956,11723.5,48.73
2023-2024,0957,1431.25,49.48
2023-2024,0959,6716.0,39.08
2023-2024,0968,32348.25,42.84
2023-2024,0981,1744.75,49.31
2023-2024,1045,3339.5,73.78
2023-2024,1110,1782283.0,142.48
2023-2024,1111,10111.0,49.82
2023-2024,1115,305666.5,58.75
2023-2024,1700,169483.25,50.61
2023-2024,1701,587787.0,57.63
2023-2024,1703,15325.25,75.17
2023-2024,1750,34089.75,48.04
2023-2024,2100,422984.25,59.89
2023-2024,2120,2030.0,393.32
2023-2024,2240,577100.5,47.3
2023-2024,2320,237770.0,50.11
2023-2024,2600,27937.75,85.02
2023-2024,2660,17253961.75,80.21
2023-2024,2665,275900.5,74.56
2023-2024,2670,3314.25,51.94
2023-2024,2720,10982659.75,69.81
2023-2024,2740,3950659.5,198.34
2023-2024,3100,75384.0,38.67
2023-2024,3125,22240.25,150.91
2023-2024,3340,245292.75,38.79
2023-2024,3360,504094.0,59.18
2023-2024,3460,6425.25,456.92
2023-2024,3480,435131.0,72.94
2023-2024,3540,2702819.75,49.33
2023-2024,3560,126384.0,59.79
2023-2024,3600,2353336.5,103.9
2023-2024,3640,27876.75,54.64
2023-2024,3720,95447.75,112.85
2023-2024,3760,28411.25,50.25
2023-2024,3780,5945.0,46.26
2023-2024,3790,2908705.0,311.49
2023-2024,3810,7529.5,60.08
2023-2024,3820,22334.75,54.39
2023-2024,3825,3031.0,48.85
2023-2024,3830,2932.25,42.92
2023-2024,3835,2975.0,47.59
2023-2024,3840,1744.25,68.55
2023-2024,3845,1930.75,56.88
2023-2024,3850,1071.75,43.51
2023-2024,3855,15565.5,276.17
2023-2024,3875,4214.0,53.54
2023-2024,3885,41912.25,61.76
2023-2024,3900,1324850.0,110.07
2023-2024,3930,279526.25,58.99
