FY,agency_code,employee_count
2024-2025,101,1321
2024-2025,103,11
2024-2025,104,35
2024-2025,106,1
2024-2025,110,1
2024-2025,128,1
2024-2025,129,1
2024-2025,131,15
2024-2025,132,50
2024-2025,133,5
2024-2025,135,2
2024-2025,140,2429
2024-2025,141,237
2024-2025,142,14
2024-2025,143,173
2024-2025,144,399
2024-2025,145,2
2024-2025,146,540
2024-2025,147,87
2024-2025,148,36
2024-2025,150,154
2024-2025,151,104
2024-2025,152,236
2024-2025,153,88
2024-2025,155,8
2024-2025,156,880
2024-2025,157,72
2024-2025,158,194
2024-2025,159,83
2024-2025,160,65
2024-2025,161,57
2024-2025,162,132
2024-2025,163,1624
2024-2025,174,1563
2024-2025,175,171
2024-2025,176,4
2024-2025,177,9
2024-2025,178,1218
2024-2025,179,19
2024-2025,180,1711
2024-2025,181,68
2024-2025,182,1498
2024-2025,183,23
2024-2025,184,223
2024-2025,185,24
2024-2025,186,8
2024-2025,187,155
2024-2025,188,1
2024-2025,189,10
2024-2025,190,1580
2024-2025,191,8
2024-2025,192,183
2024-2025,193,38
2024-2025,194,3
2024-2025,199,34
2024-2025,202,35
2024-2025,204,359
2024-2025,205,407
2024-2025,223,5
2024-2025,240,213
2024-2025,242,153
2024-2025,243,190
2024-2025,252,1745
2024-2025,255,1
2024-2025,256,1
2024-2025,258,5
2024-2025,262,1378
2024-2025,265,1
2024-2025,266,1
2024-2025,268,3
2024-2025,270,147
2024-2025,272,1667
2024-2025,275,1
2024-2025,276,1
2024-2025,277,1
2024-2025,278,5
2024-2025,279,388
2024-2025,280,9198
2024-2025,281,114
2024-2025,282,42
2024-2025,283,97
2024-2025,284,1651
2024-2025,285,6
2024-2025,287,46
2024-2025,288,11
2024-2025,290,169
2024-2025,291,3950
2024-2025,292,112
2024-2025,293,35
2024-2025,295,3
2024-2025,297,214
2024-2025,300,454
2024-2025,301,1
2024-2025,302,2070
2024-2025,305,26
2024-2025,306,1334
2024-2025,307,155
2024-2025,308,1824
2024-2025,309,7
2024-2025,311,433
2024-2025,312,114
2024-2025,314,135
2024-2025,315,80
2024-2025,316,5
2024-2025,317,15
2024-2025,318,22
2024-2025,319,34
2024-2025,321,29
2024-2025,325,113
2024-2025,326,361
2024-2025,327,15
2024-2025,329,10
2024-2025,331,130
2024-2025,333,400
2024-2025,337,41
2024-2025,338,60
2024-2025,339,183
2024-2025,340,216
2024-2025,342,78
2024-2025,343,18
2024-2025,347,4
2024-2025,348,212
2024-2025,349,3
2024-2025,351,4
2024-2025,352,34
2024-2025,355,4
2024-2025,356,17
2024-2025,357,61
2024-2025,358,1068
2024-2025,360,9
2024-2025,361,15
2024-2025,363,440
2024-2025,364,205
2024-2025,365,5
2024-2025,368,170
2024-2025,370,167
2024-2025,373,222
2024-2025,381,1355
2024-2025,382,7
2024-2025,383,55
2024-2025,387,10
2024-2025,388,4034
2024-2025,389,7416
2024-2025,390,6
2024-2025,391,42
2024-2025,393,19
2024-2025,394,1179
2024-2025,395,52
2024-2025,397,47
2024-2025,398,8
2024-2025,399,37
2024-2025,400,3262
2024-2025,401,1367
2024-2025,402,112
2024-2025,403,1355
2024-2025,404,90
2024-2025,405,18
2024-2025,409,702
2024-2025,410,843
2024-2025,411,48
2024-2025,413,1299
2024-2025,414,357
2024-2025,415,47
2024-2025,418,56
2024-2025,420,309
2024-2025,421,686
2024-2025,422,246
2024-2025,424,111
2024-2025,425,247
2024-2025,426,205
2024-2025,427,6
2024-2025,428,160
2024-2025,430,597
2024-2025,434,9
2024-2025,435,1417
2024-2025,436,8
2024-2025,437,2226
2024-2025,439,15
2024-2025,440,12
2024-2025,441,670
2024-2025,444,1261
2024-2025,445,9
2024-2025,451,13
2024-2025,452,10
2024-2025,453,2
2024-2025,454,10
2024-2025,455,2030
2024-2025,457,12
2024-2025,458,2
2024-2025,461,901
2024-2025,463,1
2024-2025,471,12
2024-2025,472,2534
2024-2025,474,20
2024-2025,475,52
2024-2025,477,17
2024-2025,480,2459
2024-2025,481,336
2024-2025,482,167
2024-2025,483,218
2024-2025,484,166
2024-2025,486,9
2024-2025,487,2141
2024-2025,488,4
2024-2025,497,10
2024-2025,502,2749
2024-2025,511,188
2024-2025,512,308
2024-2025,513,199
2024-2025,514,267
2024-2025,515,261
2024-2025,516,238
2024-2025,517,101
2024-2025,521,6
2024-2025,525,9020
2024-2025,527,12
2024-2025,530,68
2024-2025,531,16
2024-2025,533,500
2024-2025,534,107
2024-2025,535,937
2024-2025,536,84
2024-2025,538,766
2024-2025,539,7
2024-2025,541,1630
2024-2025,542,5291
2024-2025,543,128
2024-2025,544,113
2024-2025,545,1
2024-2025,546,1
2024-2025,548,570
2024-2025,549,7685
2024-2025,557,9
2024-2025,559,1635
2024-2025,562,1456
2024-2025,564,6908
2024-2025,565,3128
2024-2025,566,450
2024-2025,567,43
2024-2025,568,4
2024-2025,570,14
2024-2025,573,792
2024-2025,574,179
2024-2025,575,338
2024-2025,576,695
2024-2025,577,545
2024-2025,578,237
2024-2025,580,4981
2024-2025,581,301
2024-2025,583,9
2024-2025,584,7
2024-2025,587,2066
2024-2025,588,13
2024-2025,589,29
2024-2025,590,64
2024-2025,592,613
2024-2025,594,6
2024-2025,595,5
2024-2025,598,16
2024-2025,600,5
2024-2025,601,27
2024-2025,602,12
2024-2025,605,67
2024-2025,606,12
2024-2025,608,19
2024-2025,609,65
2024-2025,610,959
2024-2025,611,332
2024-2025,612,447
2024-2025,613,362
2024-2025,614,354
2024-2025,615,102
2024-2025,616,36
2024-2025,617,157
2024-2025,618,2
2024-2025,619,248
2024-2025,620,21
2024-2025,621,42
2024-2025,622,435
2024-2025,624,87
2024-2025,625,104
2024-2025,629,182
2024-2025,630,498
2024-2025,631,22
2024-2025,632,136
2024-2025,633,86
2024-2025,634,39
2024-2025,635,40
2024-2025,636,103
2024-2025,637,127
2024-2025,638,5
2024-2025,640,108
2024-2025,641,10
2024-2025,642,65
2024-2025,643,47
2024-2025,644,103
2024-2025,645,30
2024-2025,646,565
2024-2025,647,52
2024-2025,650,23
2024-2025,651,1229
2024-2025,652,791
2024-2025,653,282
2024-2025,654,317
2024-2025,655,927
2024-2025,656,615
2024-2025,657,137
2024-2025,659,376
2024-2025,660,22
2024-2025,664,22
2024-2025,667,81
2024-2025,673,1987
2024-2025,674,1328
2024-2025,675,10
2024-2025,680,1668
2024-2025,681,182
2024-2025,682,2
2024-2025,688,1
2024-2025,693,216
2024-2025,695,1022
2024-2025,696,44
2024-2025,697,6
2024-2025,701,345
2024-2025,702,631
2024-2025,703,71
2024-2025,712,1082
2024-2025,715,1
2024-2025,716,1
2024-2025,718,314
2024-2025,719,355
2024-2025,721,6
2024-2025,722,61
2024-2025,727,7
2024-2025,731,13
2024-2025,733,16
2024-2025,734,21
2024-2025,737,21
2024-2025,744,5
2024-2025,747,19
2024-2025,751,5
2024-2025,752,22
2024-2025,753,2
2024-2025,754,20
2024-2025,757,13
2024-2025,762,2248
2024-2025,763,24
2024-2025,765,1
2024-2025,766,1
2024-2025,768,4
2024-2025,777,5
2024-2025,785,696
2024-2025,786,3
2024-2025,791,418
2024-2025,792,1295
2024-2025,795,2
2024-2025,796,3
2024-2025,797,284
2024-2025,798,5
2024-2025,799,144
2024-2025,800,6151
2024-2025,802,1956
2024-2025,803,808
2024-2025,805,1853
2024-2025,806,1111
2024-2025,808,587
2024-2025,810,1301
2024-2025,811,146
2024-2025,812,99
2024-2025,813,2201
2024-2025,814,500
2024-2025,817,657
2024-2025,820,225
2024-2025,822,4
2024-2025,823,17
2024-2025,824,5
2024-2025,827,7
2024-2025,830,531
2024-2025,831,65
2024-2025,832,59
2024-2025,833,6
2024-2025,835,929
2024-2025,836,4
2024-2025,837,38
2024-2025,842,1996
2024-2025,845,1
2024-2025,846,1
2024-2025,847,1
2024-2025,848,4
2024-2025,857,9
2024-2025,862,1162
2024-2025,863,1
2024-2025,865,1
2024-2025,866,21
2024-2025,868,3
2024-2025,870,2
2024-2025,871,2
2024-2025,877,25
2024-2025,880,2761
2024-2025,887,4
2024-2025,900,1645
2024-2025,901,553
2024-2025,902,672
2024-2025,903,2054
2024-2025,904,3197
2024-2025,905,1045
2024-2025,906,1544
2024-2025,907,2808
2024-2025,908,1834
2024-2025,909,392
2024-2025,910,1101
2024-2025,911,1327
2024-2025,912,1087
2024-2025,913,1966
2024-2025,915,1783
2024-2025,916,18
2024-2025,917,186
2024-2025,918,20
2024-2025,919,1225
2024-2025,920,7
2024-2025,921,24
2024-2025,927,305
2024-2025,928,235
2024-2025,929,44
2024-2025,931,39
2024-2025,932,818
2024-2025,933,19
2024-2025,934,1433
2024-2025,935,7
2024-2025,936,1734
2024-2025,937,10
2024-2025,951,1
2024-2025,952,1679
2024-2025,953,1
2024-2025,955,1
2024-2025,956,1
2024-2025,958,4
2024-2025,960,2
2024-2025,963,6
2024-2025,964,9
2024-2025,966,68
2024-2025,967,33
2024-2025,968,38
2024-2025,969,14
2024-2025,977,8
2024-2025,992,986
2024-2025,995,1
2024-2025,996,382
2024-2025,998,5
2023-2024,101,1291
2023-2024,103,11
2023-2024,104,33
2023-2024,106,1
2023-2024,110,1
2023-2024,116,26
2023-2024,128,1
2023-2024,129,1
2023-2024,131,17
2023-2024,132,45
2023-2024,133,5
2023-2024,135,2
2023-2024,140,2291
2023-2024,141,229
2023-2024,142,11
2023-2024,143,183
2023-2024,144,440
2023-2024,145,2
2023-2024,146,523
2023-2024,147,82
2023-2024,148,39
2023-2024,150,155
2023-2024,151,110
2023-2024,152,249
2023-2024,153,87
2023-2024,155,8
2023-2024,156,876
2023-2024,157,73
2023-2024,158,216
2023-2024,159,87
2023-2024,160,69
2023-2024,161,57
2023-2024,162,120
2023-2024,163,1634
2023-2024,174,1579
2023-2024,175,182
2023-2024,176,3
2023-2024,177,10
2023-2024,178,1230
2023-2024,179,17
2023-2024,180,1746
2023-2024,181,76
2023-2024,182,1537
2023-2024,183,17
2023-2024,184,220
2023-2024,185,23
2023-2024,186,7
2023-2024,187,141
2023-2024,188,1
2023-2024,189,9
2023-2024,190,1539
2023-2024,191,5
2023-2024,192,207
2023-2024,193,33
2023-2024,194,3
2023-2024,199,31
2023-2024,202,35
2023-2024,204,352
2023-2024,205,407
2023-2024,223,7
2023-2024,240,205
2023-2024,242,152
2023-2024,243,181
2023-2024,252,1764
2023-2024,255,1
2023-2024,258,5
2023-2024,262,1421
2023-2024,265,1
2023-2024,268,3
2023-2024,270,155
2023-2024,272,1713
2023-2024,275,1
2023-2024,277,2
2023-2024,278,5
2023-2024,279,421
2023-2024,280,8773
2023-2024,281,106
2023-2024,282,495
2023-2024,283,108
2023-2024,284,1665
2023-2024,285,7
2023-2024,287,46
2023-2024,288,9
2023-2024,290,168
2023-2024,291,3989
2023-2024,292,115
2023-2024,293,36
2023-2024,295,3
2023-2024,297,203
2023-2024,300,443
2023-2024,301,1
2023-2024,302,2132
2023-2024,305,24
2023-2024,306,1329
2023-2024,307,149
2023-2024,308,1763
2023-2024,309,7
2023-2024,311,401
2023-2024,312,98
2023-2024,314,139
2023-2024,315,78
2023-2024,316,5
2023-2024,317,18
2023-2024,318,20
2023-2024,319,31
2023-2024,321,29
2023-2024,325,109
2023-2024,326,339
2023-2024,327,13
2023-2024,329,11
2023-2024,331,143
2023-2024,333,347
2023-2024,337,39
2023-2024,338,80
2023-2024,339,177
2023-2024,340,223
2023-2024,342,73
2023-2024,343,16
2023-2024,347,8
2023-2024,348,207
2023-2024,349,3
2023-2024,351,5
2023-2024,352,33
2023-2024,355,4
2023-2024,356,16
2023-2024,357,58
2023-2024,358,1018
2023-2024,360,10
2023-2024,361,15
2023-2024,363,421
2023-2024,364,205
2023-2024,365,5
2023-2024,368,265
2023-2024,370,164
2023-2024,373,224
2023-2024,374,7
2023-2024,381,1329
2023-2024,382,8
2023-2024,383,50
2023-2024,387,8
2023-2024,388,3804
2023-2024,389,7109
2023-2024,390,5
2023-2024,391,41
2023-2024,392,9
2023-2024,393,16
2023-2024,394,1173
2023-2024,395,51
2023-2024,397,37
2023-2024,398,7
2023-2024,399,39
2023-2024,400,2967
2023-2024,401,1313
2023-2024,402,108
2023-2024,403,1336
2023-2024,404,86
2023-2024,405,18
2023-2024,409,661
2023-2024,410,843
2023-2024,411,34
2023-2024,413,1286
2023-2024,414,353
2023-2024,415,46
2023-2024,418,51
2023-2024,419,295
2023-2024,420,4507
2023-2024,421,682
2023-2024,422,260
2023-2024,423,165
2023-2024,424,105
2023-2024,425,250
2023-2024,426,201
2023-2024,427,4
2023-2024,428,54
2023-2024,430,588
2023-2024,434,10
2023-2024,435,1450
