FY,agency_code,CFIS/ORG Code,employee_count
2024-2025,006,8940,358
2024-2025,013,7300,63
2024-2025,014,8570,1404
2024-2025,016,4700,121
2024-2025,018,8570,442
2024-2025,022,2120,5
2024-2025,024,2100,510
2024-2025,025,5351,1629
2024-2025,026,5352,1296
2024-2025,027,5353,1532
2024-2025,030,5357,1921
2024-2025,032,5254,9
2024-2025,033,5254,7
2024-2025,036,3460,8
2024-2025,038,5254,9
2024-2025,040,7870,247
2024-2025,042,5225,1432
2024-2025,045,5420,46
2024-2025,047,5420,56
2024-2025,048,5388,794
2024-2025,049,5254,10
2024-2025,051,840,1502
2024-2025,052,5420,16
2024-2025,054,5300,1202
2024-2025,055,5254,8
2024-2025,056,5340,1343
2024-2025,057,5254,5
2024-2025,058,5420,46
2024-2025,061,5260,1779
2024-2025,062,5254,23
2024-2025,063,5420,324
2024-2025,064,5320,173
2024-2025,065,5250,4360
2024-2025,068,5290,3
2024-2025,069,5254,6
2024-2025,071,5380,1020
2024-2025,072,5254,7
2024-2025,073,5420,66
2024-2025,074,5420,20
2024-2025,075,5420,60
2024-2025,076,5330,2165
2024-2025,077,5254,5
2024-2025,079,5350,1142
2024-2025,080,5310,1422
2024-2025,081,5420,53
2024-2025,082,5254,7
2024-2025,083,5225,163
2024-2025,084,5358,1879
2024-2025,085,5254,9
2024-2025,086,5320,1107
2024-2025,087,5420,25
2024-2025,088,5254,4
2024-2025,091,5225,505
2024-2025,095,5390,1577
2024-2025,096,5420,18
2024-2025,097,5254,7
2024-2025,099,5400,1280
2024-2025,101,5360,1237
2024-2025,103,5254,9
2024-2025,104,5420,31
2024-2025,106,5370,1
2024-2025,110,5460,1
2024-2025,128,5460,1
2024-2025,129,5225,1
2024-2025,133,5460,1
2024-2025,135,5460,2
2024-2025,140,5225,2123
2024-2025,143,5460,1
2024-2025,148,280,26
2024-2025,150,250,133
2024-2025,151,250,97
2024-2025,152,250,216
2024-2025,153,250,84
2024-2025,155,250,8
2024-2025,156,250,819
2024-2025,157,250,68
2024-2025,158,250,181
2024-2025,159,250,80
2024-2025,160,250,51
2024-2025,162,6047,68
2024-2025,174,6100,1449
2024-2025,175,6120,164
2024-2025,176,6255,4
2024-2025,177,5420,9
2024-2025,178,5362,1141
2024-2025,179,5420,18
2024-2025,180,5363,1515
2024-2025,181,5254,8
2024-2025,182,5364,1372
2024-2025,183,5254,6
2024-2025,184,6100,117
2024-2025,188,5225,1
2024-2025,189,5420,8
2024-2025,190,5225,1501
2024-2025,191,5254,7
2024-2025,192,6360,167
2024-2025,193,6100,34
2024-2025,194,5460,3
2024-2025,199,6100,31
2024-2025,202,6100,35
2024-2025,204,6100,319
2024-2025,205,6100,367
2024-2025,270,6980,137
2024-2025,279,7100,347
2024-2025,280,7100,8607
2024-2025,281,7100,108
2024-2025,283,7120,92
2024-2025,284,5344,1549
2024-2025,285,5254,6
2024-2025,287,5420,45
2024-2025,288,2665,11
2024-2025,290,860,159
2024-2025,291,7600,3713
2024-2025,292,870,108
2024-2025,293,855,33
2024-2025,295,6125,3
2024-2025,297,552,203
2024-2025,300,8860,416
2024-2025,302,954,15
2024-2025,305,7910,24
2024-2025,306,7760,1277
2024-2025,307,7760,135
2024-2025,308,7760,1685
2024-2025,309,3810,7
2024-2025,311,2665,397
