FY,agency_code,CFIS/ORG Code,employee_count
2024-2025,006,8940,1
2024-2025,024,2100,1
2024-2025,042,5225,1
2024-2025,065,5250,2
2024-2025,153,250,1
2024-2025,174,6100,1
2024-2025,291,7600,1
2024-2025,326,1700,1
2024-2025,358,850,1
2024-2025,400,7350,2
2024-2025,533,3340,1
2024-2025,541,3540,2
2024-2025,542,3540,5
2024-2025,549,3790,2
2024-2025,580,4265,1
2024-2025,605,1110,1
2024-2025,625,1110,1
2024-2025,681,462,1
2024-2025,695,502,1
2024-2025,719,7760,1
2024-2025,785,890,1
2024-2025,800,5180,2
2024-2025,880,3940,1
2024-2025,900,2660,1
2024-2025,915,5365,1
2023-2024,030,5357,1
2023-2024,042,5225,1
2023-2024,051,840,1
2023-2024,071,5380,1
2023-2024,101,5360,1
2023-2024,163,690,1513
2023-2024,174,6100,1
2023-2024,180,5363,1
2023-2024,204,6100,1
2023-2024,280,7100,3
2023-2024,300,8860,1
2023-2024,306,7760,1
2023-2024,308,7760,1
2023-2024,321,971,1
2023-2024,388,2720,2
2023-2024,410,1701,1
2023-2024,414,2320,2
2023-2024,441,4140,1
2023-2024,444,5355,1
2023-2024,525,2740,2
2023-2024,533,3340,2
2023-2024,541,3540,1
2023-2024,542,3540,16
2023-2024,549,3790,2
2023-2024,564,7730,3
2023-2024,565,3600,1
2023-2024,580,4265,1
2023-2024,587,5349,1
2023-2024,592,1115,1
2023-2024,630,1110,1
2023-2024,674,5335,2
2023-2024,681,462,1
2023-2024,800,5180,1
2023-2024,810,3960,1
2023-2024,880,3940,3
2023-2024,900,2660,1
2023-2024,902,2660,3
2023-2024,903,2660,1
2023-2024,934,5295,1
2022-2023,163,690,1404
2022-2023,183,5254,1
2022-2023,280,7100,1
2022-2023,318,956,1
2022-2023,397,559,1
2022-2023,403,5342,1
2022-2023,419,820,293
2022-2023,420,820,4264
2022-2023,423,820,166
2022-2023,430,160,1
2022-2023,455,4440,1
2022-2023,525,2740,1
2022-2023,530,3885,1
2022-2023,533,3340,1
2022-2023,535,3360,1
2022-2023,542,3540,18
2022-2023,549,3790,3
2022-2023,564,7730,1
2022-2023,576,8955,1
2022-2023,580,4265,3
2022-2023,674,5335,1
2022-2023,702,2660,1
2022-2023,800,5180,2
2022-2023,813,5160,1
2022-2023,817,5175,1
2022-2023,900,2660,1
2022-2023,902,2660,1
2022-2023,904,2660,1
2022-2023,919,5291,1
2022-2023,928,2660,1
