file_name,original_row_count,imported_row_count
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 01-2023_A.xlsx",546330,546330
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 01-2023_B.xlsx",590213,590213
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 01-2024_A.xlsx",499456,499456
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 01-2024_B.xlsx",589861,589861
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 01-2025_A.xlsx",482523,482523
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 01-2025_B.xlsx",626693,626693
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 02-2023_A.xlsx",537218,537218
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 02-2023_B.xlsx",581884,581884
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 02-2024_A.xlsx",491598,491598
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 02-2024_B.xlsx",581897,581897
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 02-2025_A.xlsx",474784,474784
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 02-2025_B.xlsx",617921,617921
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 03-2023_A.xlsx",534676,534676
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 03-2023_B.xlsx",582427,582427
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 03-2024_A.xlsx",488659,488659
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 03-2024_B.xlsx",581598,581598
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 03-2025_A.xlsx",471897,471897
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 03-2025_B.xlsx",617076,617076
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 04-2023_A.xlsx",531578,531578
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 04-2023_B.xlsx",581239,581239
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 04-2024_A.xlsx",488199,488199
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 04-2024_B.xlsx",584345,584345
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 04-2025_A.xlsx",469627,469627
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 04-2025_B.xlsx",616047,616047
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 05-2023_A.xlsx",532587,532587
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 05-2023_B.xlsx",586642,586642
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 05-2024_A.xlsx",489270,489270
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 05-2024_B.xlsx",588618,588618
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 05-2025_A.xlsx",468314,468314
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 05-2025_B.xlsx",617758,617758
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 06-2023_A.xlsx",536522,536522
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 06-2023_B.xlsx",592160,592160
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 06-2024_A.xlsx",496064,496064
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 06-2024_B.xlsx",600102,600102
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 06-2025_A.xlsx",473413,473413
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 06-2025_B.xlsx",626267,626267
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 07-2022_A.xlsx",584230,584230
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 07-2022_B.xlsx",595605,595605
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 07-2023_A.xlsx",535369,535369
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 07-2023_B.xlsx",595543,595543
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 07-2024_A.xlsx",496982,496982
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 07-2024_B.xlsx",607481,607481
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 08-2022_A.xlsx",529170,529170
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 08-2022_B.xlsx",544048,544048
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 08-2023_A.xlsx",484518,484518
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 08-2023_B.xlsx",543901,543901
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 08-2024_A.xlsx",448991,448991
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 08-2024_B.xlsx",553299,553299
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 09-2022_A.xlsx",528183,528183
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 09-2022_B.xlsx",545516,545516
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 09-2023_A.xlsx",487233,487233
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 09-2023_B.xlsx",549768,549768
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 09-2024_A.xlsx",451947,451947
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 09-2024_B.xlsx",560630,560630
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 10-2022_A.xlsx",524544,524544
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 10-2022_B.xlsx",544771,544771
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 10-2023_A.xlsx",473195,473195
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 10-2023_B.xlsx",539037,539037
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 10-2024_A.xlsx",450445,450445
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 10-2024_B.xlsx",561190,561190
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 11-2022_A.xlsx",526955,526955
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 11-2022_B.xlsx",551074,551074
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 11-2023_A.xlsx",477081,477081
"PDSQ3063_Leave Earned, Used, Ending Balance_LV PD 11-2023_B.xlsx",547414,547414
