Sheet Name,Filename,Filepath
Drop Down Menus,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx|||Drop Down Menus$'
qryIndex02a,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx|||qryIndex02a$'
LS-Version Changes,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx|||LS-Version Changes$'
LS-Fund 0042 Journal Entries,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx|||LS-Fund 0042 Journal Entries$'
LS-Fund 0046 Journal Entrie ,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx|||LS-Fund 0046 Journal Entrie $'
LS-Fund 3290 Journal Entrie ,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx|||LS-Fund 3290 Journal Entrie $'
LS-Fund 3291 Journal Entrie,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx|||LS-Fund 3291 Journal Entrie$'
LS-Department Note Disclosure,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx|||LS-Department Note Disclosure$'
LS-Lease Liabilities,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx|||LS-Lease Liabilities$'
LS-Check Figures  ,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx,C:/Users/cb1152/OneDrive - Eide Bailly LLP/Current Projects/State of California/Accounting Standards/Current Year/GASB 87/Completed Templates\Financed Purchase\BU_2660_GASB_87_Annual_Reporting_Submission_Workbook_Final_FP.xlsx|||LS-Check Figures  $'
